,a,b,c,avg,grid_x,grid_y,grid_z,grid,n_atoms
0,5.607508,5.607508,8.084708,6.433241333333332,84.0,84.0,120.0,94.60482195726289,11.0
1,8.865827763069841,8.865827763069841,3.503816,7.0784905087132275,140.0,140.0,56.0,103.1528819619308,21.0
2,3.008922,3.008922,5.813971436414355,3.9439384788047853,48.0,48.0,96.0,60.476210394953895,3.0
3,7.631376,10.058416054672277,10.191678251283887,9.293823435318721,120.0,160.0,160.0,145.36964742657113,51.0
4,9.41861516568577,9.603774172352711,9.369007549856388,9.463798962631623,140.0,144.0,140.0,141.3208327221578,62.0
5,5.72739,8.027824,18.722020298983892,10.825744766327965,96.0,120.0,280.0,147.75318003582663,60.0
6,5.636767,6.1415717266329315,7.403654327745658,6.393997684792862,84.0,96.0,112.0,96.66208988768436,9.0
7,4.737954015232102,5.755619502361671,15.577639537808544,8.690404351800773,72.0,96.0,240.0,118.37817956786253,36.0
8,3.300365493665967,3.300365493665967,4.988582709552083,3.863104565628005,56.0,56.0,80.0,63.06988130484193,4.0
9,13.030773,8.12893,10.528164078845133,10.562622359615045,196.0,120.0,160.0,155.54370280059075,28.0
10,3.811283,3.811283,3.811283,3.811283,56.0,56.0,56.0,55.999999999999986,5.0
11,8.14671829390829,8.14671829390829,8.14671829390829,8.14671829390829,128.0,128.0,128.0,127.99999999999997,17.0
12,10.106738123500826,10.106738123500826,7.55852,9.257332082333884,160.0,160.0,112.0,142.06464027881609,54.0
13,6.201647,7.459251,8.36219,7.341029333333334,96.0,112.0,128.0,111.23285263636636,36.0
14,10.493376232327611,10.493376232327611,11.066943766524252,10.684565410393157,160.0,160.0,168.0,162.6234170903765,46.0
15,6.481628,7.599519598060525,7.716921573124221,7.266023057061582,96.0,120.0,120.0,111.39813200670666,32.0
16,6.383033,6.383033,6.539454192035984,6.435173397345328,96.0,96.0,100.0,97.31523192917437,10.0
17,8.42075,8.409413,8.420914693664875,8.417025897888292,128.0,128.0,128.0,127.99999999999997,56.0
18,8.383064203783482,7.941837360726295,12.448192654893681,9.591031406467819,128.0,120.0,192.0,143.40495188982922,24.0
19,6.5978533794610055,6.5978533794610055,5.978966266760501,6.391557675227504,100.0,100.0,96.0,98.64848297321878,12.0
20,2.903723,9.852144,10.229374454960432,7.6617471516534765,48.0,160.0,160.0,107.10927201314709,32.0
21,8.813574,8.430326,12.314567459722042,9.852822486574015,140.0,128.0,192.0,150.966207370129,80.0
22,6.0864125602069565,6.0864125602069565,15.074660469845549,9.082495196753154,96.0,96.0,224.0,127.3298306526845,30.0
23,4.895187109069479,4.895187109069479,4.895187109069479,4.895187109069479,72.0,72.0,72.0,71.99999999999999,4.0
24,8.754936126451524,8.754936126451524,8.754936126451524,8.754936126451524,140.0,140.0,140.0,139.99999999999997,18.0
25,5.101543495236712,5.101543495236712,5.101543495236712,5.101543495236712,80.0,80.0,80.0,79.99999999999999,4.0
26,6.480091912098932,6.480091912098932,9.187747760317432,7.382643861505099,96.0,96.0,140.0,108.86547385525385,32.0
27,8.863375,10.437686,11.250943,10.184001333333333,140.0,160.0,168.0,155.54370280059075,66.0
28,3.5917,3.5917004825731222,13.353552,6.8456508275243735,56.0,56.0,200.0,85.59899844520633,6.0
29,8.315846,8.316756,8.321522672896348,8.318041557632116,128.0,128.0,128.0,127.99999999999997,54.0
30,3.9760769869611425,3.9760769869611425,3.9760769869611425,3.9760769869611425,60.0,60.0,60.0,59.999999999999986,4.0
31,5.258485600377071,5.258485600377071,4.211988,4.909653066918048,80.0,80.0,64.0,74.26542133780444,8.0
32,10.326088407279931,10.326088407279931,5.739187,8.797121271519954,160.0,160.0,96.0,134.94922644827983,24.0
33,3.192665,5.049804018478341,5.831422360779057,4.6912971264191325,48.0,80.0,96.0,71.70247594491462,7.0
34,5.193789,5.193789,5.193789,5.193789,80.0,80.0,80.0,79.99999999999999,8.0
35,10.540180415160265,10.540180415160265,10.540180415160265,10.540180415160265,160.0,160.0,160.0,159.99999999999994,80.0
36,8.801528824639615,8.801528824639615,8.691107132370018,8.764721593883083,140.0,140.0,140.0,139.99999999999997,22.0
37,5.6123041405030785,5.6123041405030785,4.521593,5.248733760335386,84.0,84.0,72.0,79.79279713381169,8.0
38,8.279049,4.872657,26.714618648072165,13.288774882690722,128.0,72.0,400.0,154.47830153690072,88.0
39,5.503327,4.511786,4.701406932228691,4.9055066440762305,84.0,72.0,72.0,75.79631517187653,16.0
40,5.555513261121244,5.825459687344596,5.871004556190789,5.750659168218877,84.0,96.0,96.0,91.82069677307466,13.0
41,4.719467747256464,9.405351191963168,2.999616444041471,5.708145127753702,72.0,140.0,48.0,78.50559144452613,12.0
42,5.057902,5.683251219051733,15.359839885845979,8.700331034965904,80.0,84.0,240.0,117.27177671025899,36.0
43,12.022554149715942,12.022554149715942,12.022554279633965,12.022554193021952,180.0,180.0,180.0,179.99999999999994,51.0
44,19.33236188120068,19.33236188120068,5.198686530615209,14.621136764338857,288.0,288.0,80.0,187.9136467761054,32.0
45,5.390615817060329,5.390615817060329,5.390615547157115,5.390615727092591,80.0,80.0,80.0,79.99999999999999,8.0
46,7.285775911420348,7.285775911420348,8.278321,7.616624274280231,108.0,108.0,128.0,114.29287574171033,17.0
47,5.2850203569660925,5.2850203569660925,5.2850203569660925,5.2850203569660925,80.0,80.0,80.0,79.99999999999999,5.0
48,10.410557,8.012812,9.730274879679042,9.384547959893014,160.0,120.0,144.0,140.35285143421754,56.0
49,3.612304134429021,3.6125338129081923,6.516130000562067,4.58032264929976,56.0,56.0,96.0,67.02174982592044,3.0
50,6.655874508942607,6.655874508942607,6.655874508942607,6.655874508942607,100.0,100.0,100.0,99.99999999999997,10.0
51,5.333384642420046,5.333384642420046,10.391867604619007,7.019545629819699,80.0,80.0,160.0,100.79368399158983,20.0
52,6.004868,8.039258,8.444552,7.496226,96.0,120.0,128.0,113.82058574368197,30.0
53,7.171859277645999,7.171859277645999,14.200449908001401,9.5147228210978,108.0,108.0,216.0,136.07147338864627,24.0
54,10.631828246924703,10.631828246924703,10.631828246924703,10.631828246924703,160.0,160.0,160.0,159.99999999999994,4.0
55,7.458800004214753,7.458800004214753,14.190377,9.702659002809837,112.0,112.0,216.0,139.41085760552886,54.0
56,5.322688458145282,5.322688458145282,5.322688458145282,5.322688458145282,80.0,80.0,80.0,79.99999999999999,4.0
57,4.275416,4.275416,7.411247,5.3206929999999995,64.0,64.0,112.0,77.12455245360734,9.0
58,9.189107,11.040718,14.533934129718801,11.587919709906267,140.0,168.0,216.0,171.90837015976055,64.0
59,4.207433840484007,4.207433840484007,4.207433840484007,4.207433840484007,64.0,64.0,64.0,63.999999999999986,4.0
60,7.434397,7.657730849501176,8.166683184889813,7.752937011463662,112.0,120.0,128.0,119.82195819549608,48.0
61,6.703279,8.688846804145012,10.083316043696836,8.491813949280617,100.0,140.0,160.0,130.84265240754354,52.0
62,6.281086136276989,6.281086136276989,6.281086136276989,6.281086136276989,96.0,96.0,96.0,95.99999999999997,4.0
63,7.043463777341515,7.043463777341515,7.043463777341515,7.043463777341515,108.0,108.0,108.0,107.99999999999997,10.0
64,10.337364087356118,10.337364087356118,5.003007,8.559245058237412,160.0,160.0,80.0,126.99208415745592,8.0
65,7.273325087825238,7.273325087825238,7.373288028379198,7.306646068009891,108.0,108.0,112.0,109.31720298752383,22.0
66,10.043606103048546,10.043606103048546,10.043606103048546,10.043606103048546,160.0,160.0,160.0,159.99999999999994,4.0
67,6.089309997466872,6.089309997466872,10.68145,7.620023331644582,96.0,96.0,160.0,113.82058574368197,14.0
